mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2032.7465353012085,76.9229718396822,20.11908288002014,0.5472416014450794,300,2,2,sqrt,30,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced'}",0.9879047560681488,0.9888597782045296,0.9885414431297729,0.9880740215218051,0.9884621849735751,0.9883684367795663,0.00034112064233053044,15,0.9892759369691566,0.9894402284009185,0.9890879637446712,0.9892254489546639,0.9892431665500199,0.9892545489238861,0.000112837321174452
1040.7809324264526,18.097510006010303,9.78823447227478,0.3431796114850754,150,2,1,log2,20,,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.9935255435867412,0.9940484366009683,0.9937371411430764,0.9937407638686621,0.9936369697438522,0.9937377709886601,0.00017419749584140798,1,0.9941936788782663,0.9940638944900375,0.9941191073251417,0.9941084670700753,0.9941040628687352,0.9941178421264512,4.228692647489246e-05
711.8984473228454,18.303014307402027,6.059957075119018,0.14063075640790607,100,10,4,log2,15,balanced_subsample,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced_subsample'}",0.9875140357563558,0.9883844848085999,0.9882375366131952,0.9876866532995214,0.987954208445831,0.9879553837847006,0.00032580467907900956,30,0.9881323861830362,0.9879212267467375,0.987974030397957,0.988102905559977,0.9880022127735597,0.9880265523322536,7.93411192500353e-05
1045.1125572681426,90.60520919905747,10.112313222885131,0.4033573644005186,150,2,4,log2,30,balanced,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'class_weight': 'balanced'}",0.9877056721002506,0.9886056738902669,0.9884152913540769,0.9881071389961809,0.9883577957250953,0.9882383144131742,0.0003103109506477116,16,0.9888031341578434,0.9886864084949443,0.9886387425059094,0.9888848320504431,0.9888428947702813,0.9887712023958842,9.360209447701593e-05
681.1367277622223,24.65686611741098,6.493077325820923,0.12419713140025652,100,10,4,log2,20,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.9934656929784536,0.9940115888570333,0.9936244780262723,0.9936672702086989,0.9935909768299039,0.9936720013800724,0.0001826081279440726,5,0.9938953614632868,0.9937913764472488,0.993767042554207,0.9938000755266351,0.9937921483718597,0.9938092008726475,4.448087466947364e-05
1464.2474145412446,38.55819807126418,13.405065441131592,0.2891284840478522,200,2,2,log2,30,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'class_weight': 'balanced_subsample'}",0.9879221592968277,0.9888264586000691,0.9885155745808167,0.9881087060250219,0.9885389827024922,0.9883823762410456,0.0003243983803795093,14,0.9892781748291322,0.9893492411159834,0.9890990621686251,0.9893115911330183,0.9893369505114403,0.9892750039516398,9.127181400256262e-05
1660.2274251937865,55.55505357831795,16.089761781692506,0.44169173131367584,250,2,4,sqrt,30,balanced,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced'}",0.9877099508797618,0.9885924163720288,0.9884021645193803,0.9880771545834091,0.9883285968505728,0.9882220566410306,0.00030469818229378266,18,0.9887976465772232,0.9886819605993628,0.9886258846590346,0.9888621904828052,0.9887594456881972,0.9887454256013246,8.351703307051981e-05
2205.271218395233,75.23594636128666,19.59127984046936,0.28869656427392326,300,2,4,sqrt,30,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced_subsample'}",0.9877020949572788,0.9886319276423737,0.9884316475472184,0.9880598853388383,0.9883501560093733,0.9882351422990163,0.00032377014855251076,17,0.9887311928161795,0.988694626294828,0.9886877443050079,0.9888283509547678,0.9888085272563021,0.988750088325417,5.806892763443823e-05
1072.4232469558715,21.33106847346498,9.220821189880372,0.5127728180331845,150,10,4,log2,15,balanced_subsample,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced_subsample'}",0.9875140357563558,0.9883844848085999,0.9882506634854775,0.9876780919960341,0.9879630495483537,0.9879580651189641,0.00032955103542646523,28,0.9881205361356402,0.9879169101008167,0.9879677095392003,0.9880964796458493,0.9879935100536567,0.9880190290950328,7.747964168472216e-05
989.7450198173523,49.30266578420037,8.924903726577758,0.20350425100947395,150,2,4,log2,15,balanced,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced'}",0.9875100430539666,0.9883933247655365,0.9882374021760822,0.9876953553113239,0.9879758987874108,0.9879624048188639,0.0003278549191099353,26,0.9881184278833832,0.9879413232961106,0.9879717860503965,0.9880953746734054,0.9879999000405504,0.9880253623887694,6.948989939962297e-05
